sim-profile: SimpleScalar/PISA Tool Set version 3.0 of August, 2003.
Copyright (c) 1994-2003 by Todd M. Austin, Ph.D. and SimpleScalar, LLC.
All Rights Reserved. This version of SimpleScalar is licensed for academic
non-commercial use.  No portion of this work may be used by any commercial
entity, or for any commercial purpose, without the prior written permission
of SimpleScalar, LLC (info@simplescalar.com).

sim: command line: /usr/ensta/pack/simplescalar-3v0d/simplesim-3.0/sim-profile -iclass -iprof -redir:sim conv2D.out conv2D.ss 

sim: simulation started @ Thu Jan 30 14:20:51 2025, options follow:

sim-profile: This simulator implements a functional simulator with
profiling support.  Run with the `-h' flag to see profiling options
available.

# -config                     # load configuration from a file
# -dumpconfig                 # dump configuration to a file
# -h                    false # print help message    
# -v                    false # verbose operation     
# -d                    false # enable debug message  
# -i                    false # start in Dlite debugger
-seed                       1 # random number generator seed (0 for timer seed)
# -q                    false # initialize and terminate immediately
# -chkpt               <null> # restore EIO trace execution from <fname>
# -redir:sim       conv2D.out # redirect simulator output to file (non-interactive only)
# -redir:prog          <null> # redirect simulated program output to file
-nice                       0 # simulator scheduling priority
-max:inst                   0 # maximum number of inst's to execute
-all                    false # enable all profile options
-iclass                  true # enable instruction class profiling
-iprof                   true # enable instruction profiling
-brprof                 false # enable branch instruction profiling
-amprof                 false # enable address mode profiling
-segprof                false # enable load/store address segment profiling
-tsymprof               false # enable text symbol profiling
-taddrprof              false # enable text address profiling
-dsymprof               false # enable data symbol profiling
-internal               false # include compiler-internal symbols during symbol profiling
# -pcstat              <null> # profile stat(s) against text addr's (mult uses ok)

sim: ** starting functional simulation **

sim: ** simulation statistics **
sim_num_insn               24529449 # total number of instructions executed
sim_num_refs                3319857 # total number of loads and stores executed
sim_elapsed_time                  2 # total simulation time in seconds
sim_inst_rate          12264724.5000 # simulation speed (in insts/sec)

sim_inst_class_prof    # instruction class profile
sim_inst_class_prof.array_size = 7
sim_inst_class_prof.bucket_size = 1
sim_inst_class_prof.count = 7
sim_inst_class_prof.total = 24529448
sim_inst_class_prof.imin = 0
sim_inst_class_prof.imax = 7
sim_inst_class_prof.average = 3504206.8571
sim_inst_class_prof.std_dev = 5648772.7380
sim_inst_class_prof.overflows = 0
# pdf == prob dist fn, cdf == cumulative dist fn
#          index      count    pdf 
sim_inst_class_prof.start_dist
load                3216001  13.11 
store                103856   0.42 
uncond branch           119   0.00 
cond branch         2111217   8.61 
int computation    15882600  64.75 
fp computation      3215648  13.11 
trap                      7   0.00 
sim_inst_class_prof.end_dist


sim_inst_prof          # instruction profile
sim_inst_prof.array_size = 119
sim_inst_prof.bucket_size = 1
sim_inst_prof.count = 119
sim_inst_prof.total = 24529448
sim_inst_prof.imin = 0
sim_inst_prof.imax = 119
sim_inst_prof.average = 206129.8151
sim_inst_prof.std_dev = 891616.0995
sim_inst_prof.overflows = 0
# pdf == prob dist fn, cdf == cumulative dist fn
#          index      count    pdf 
sim_inst_prof.start_dist
nop                       4   0.00 
j        J               13   0.00 
jal      J               46   0.00 
jr       s               52   0.00 
jalr     d,s              8   0.00 
beq      s,t,j          107   0.00 
bne      s,t,j      2111100   8.61 
blez     s,j              0   0.00 
bgtz     s,j              0   0.00 
bltz     s,j              4   0.00 
bgez     s,j              6   0.00 
bc1f     j                0   0.00 
bc1t     j                0   0.00 
lb       t,o(b)           0   0.00 
lbu      t,o(b)           2   0.00 
lh       t,o(b)           0   0.00 
lhu      t,o(b)           1   0.00 
lw       t,o(b)         350   0.00 
dlw      t,o(b)           0   0.00 
l.s      T,o(b)     3215648  13.11 
l.d      T,o(b)           0   0.00 
lwl      t,o(b)           0   0.00 
lwr      t,o(b)           0   0.00 
sb       t,o(b)           0   0.00 
sh       t,o(b)           0   0.00 
sw       t,o(b)        3367   0.01 
dsw      t,o(b)           0   0.00 
dsz      o(b)             0   0.00 
s.s      T,o(b)      100489   0.41 
s.d      T,o(b)           0   0.00 
swl      t,o(b)           0   0.00 
swr      t,o(b)           0   0.00 
lb       t,(b+d)          0   0.00 
lbu      t,(b+d)          0   0.00 
lh       t,(b+d)          0   0.00 
lhu      t,(b+d)          0   0.00 
lw       t,(b+d)          0   0.00 
dlw      t,(b+d)          0   0.00 
l.s      T,(b+d)          0   0.00 
l.d      T,(b+d)          0   0.00 
sb       t,(b+d)          0   0.00 
sh       t,(b+d)          0   0.00 
sw       t,(b+d)          0   0.00 
dsw      t,(b+d)          0   0.00 
dsz      (b+d)            0   0.00 
s.s      T,(b+d)          0   0.00 
s.d      T,(b+d)          0   0.00 
l.s.r2   T,(b+d)          0   0.00 
s.s.r2   T,(b+d)          0   0.00 
lw.r2    t,(b+d)          0   0.00 
sw.r2    t,(b+d)          0   0.00 
add      d,s,t            0   0.00 
addi     t,s,i            0   0.00 
addu     d,s,t      7035680  28.68 
addiu    t,s,i      2111973   8.61 
sub      d,s,t            0   0.00 
subu     d,s,t          335   0.00 
mult     s,t              0   0.00 
multu    s,t              0   0.00 
div      s,t              0   0.00 
divu     s,t              0   0.00 
mfhi     d                0   0.00 
mthi     s                0   0.00 
mflo     d                0   0.00 
mtlo     s                0   0.00 
and      d,s,t            8   0.00 
andi     t,s,u           49   0.00 
or       d,s,t           10   0.00 
ori      t,s,u           18   0.00 
xor      d,s,t            7   0.00 
xori     t,s,u            0   0.00 
nor      d,s,t           15   0.00 
sll      d,t,H      4523325  18.44 
sllv     d,t,s            6   0.00 
srl      d,t,H           19   0.00 
srlv     d,t,s            0   0.00 
sra      d,t,H            9   0.00 
srav     d,t,s            4   0.00 
slt      d,s,t            0   0.00 
slti     t,s,i      2110586   8.60 
sltu     d,s,t           17   0.00 
sltiu    t,s,i           16   0.00 
add.s    D,S,T      1607824   6.55 
add.d    D,S,T            0   0.00 
sub.s    D,S,T            0   0.00 
sub.d    D,S,T            0   0.00 
mul.s    D,S,T      1607824   6.55 
mul.d    D,S,T            0   0.00 
div.s    D,S,T            0   0.00 
